overall_qual,year_built,year_remod/add,mas_vnr_area,bsmtfin_sf_1,total_bsmt_sf,central_air,1st_flr_sf,gr_liv_area,full_bath,totrms_abvgrd,garage_cars,paved_drive,open_porch_sf,saleprice,garage_yr_blt_imp,total_sf,heating_qc_oe,ms_subclass_60,neighborhood_NridgHt,foundation_PConc,high_qual,best_gr_live_area,recent_remodel,heatqc_is_ex,has_fireplaces,massive_sf,both_exterior_VynilSd
6,1976,2005,289.0,533.0,725.0,1,725,1479,2,6,2.0,1,44,130500,1976,2248.0,4.0,1,0,0,0,0,1,1,0,0,0
7,1996,1997,132.0,637.0,913.0,1,913,2122,2,8,2.0,1,74,220000,1997,3109.0,4.0,1,0,1,1,1,0,1,1,1,1
5,1953,2007,0.0,731.0,1057.0,1,1057,1057,1,5,1.0,1,52,109000,1953,2166.0,3.0,0,0,0,0,0,1,0,0,0,1
5,2006,2007,0.0,0.0,384.0,1,744,1444,2,7,2.0,1,0,174000,2007,1928.0,2.0,1,0,1,0,0,1,0,0,0,1
6,1900,1993,0.0,0.0,676.0,1,831,1445,2,6,2.0,0,59,138500,1957,2180.0,3.0,0,0,1,0,0,0,0,0,0,0
6,1966,2002,0.0,247.0,1517.0,1,1888,1888,2,6,2.0,1,0,190000,1966,3405.0,4.0,0,0,0,0,1,0,1,1,1,0
6,2005,2006,82.0,547.0,547.0,1,1072,1072,2,5,2.0,1,44,140000,2005,1663.0,2.0,0,0,1,0,0,1,0,0,0,1
5,1959,1959,180.0,1000.0,1188.0,1,1188,1188,1,6,2.0,1,0,142000,1959,2376.0,1.0,0,0,0,0,0,0,0,0,0,0
5,1952,1952,0.0,292.0,924.0,1,924,924,1,6,1.0,1,324,112500,1952,2172.0,3.0,0,0,0,0,0,0,0,0,0,0
5,1969,1969,192.0,650.0,1040.0,1,1040,2080,1,9,2.0,1,0,135000,1969,3455.0,3.0,1,0,1,0,1,0,0,1,1,0
6,1971,1971,232.0,387.0,483.0,1,483,987,1,4,1.0,1,0,85400,1971,1470.0,3.0,0,0,0,0,0,0,0,0,0,0
7,2005,2005,0.0,393.0,1208.0,1,1208,1208,2,6,2.0,1,58,183600,2005,2579.0,4.0,0,0,1,1,0,1,1,0,0,1
5,1880,2007,0.0,0.0,0.0,1,1288,2016,1,7,2.0,0,0,131000,1900,2016.0,4.0,0,0,1,0,1,1,1,1,0,0
8,1999,2000,456.0,813.0,960.0,1,962,1607,2,7,2.0,1,0,200000,2000,2736.0,4.0,0,0,1,1,0,0,1,0,0,0
7,2007,2007,0.0,24.0,1351.0,1,1361,1361,2,6,2.0,1,50,193000,2007,2762.0,4.0,0,0,1,1,0,1,1,0,0,1
5,2004,2005,0.0,0.0,1430.0,1,1430,1430,2,7,2.0,1,0,173500,2004,2860.0,4.0,0,0,1,0,0,1,1,0,0,1
5,1916,1950,0.0,0.0,624.0,0,624,1344,1,7,3.0,1,0,98000,1916,1968.0,1.0,0,0,0,0,0,0,0,0,0,0
5,1963,1963,0.0,651.0,1121.0,1,1121,1121,1,5,2.0,1,80,139000,1963,2322.0,3.0,0,0,1,0,0,0,0,0,0,1
6,1977,1977,148.0,0.0,660.0,1,1285,1285,1,7,2.0,1,0,143500,1977,2083.0,4.0,0,0,0,0,0,0,1,1,0,0
7,2009,2009,0.0,24.0,756.0,1,764,1547,2,7,2.0,1,45,215200,2009,2517.0,4.0,1,0,1,1,0,1,1,0,0,1
5,1968,1968,0.0,492.0,894.0,1,894,894,1,5,2.0,1,0,129000,1968,1788.0,2.0,0,0,0,0,0,0,0,1,0,1
8,2000,2000,0.0,1158.0,1501.0,1,1659,1659,2,5,2.0,1,59,278000,2000,3431.0,4.0,0,0,1,1,0,0,1,1,1,0
6,1992,2007,0.0,935.0,1168.0,1,1187,1187,2,6,2.0,1,21,185000,1992,2859.0,4.0,0,0,1,0,0,1,1,0,0,0
5,1955,1955,0.0,1056.0,1056.0,0,1056,1056,1,5,2.0,1,0,145000,1955,2376.0,3.0,0,0,0,0,0,0,0,0,0,0
6,1961,1961,3.0,1312.0,1453.0,1,1453,1453,2,6,2.0,1,49,187500,1961,2955.0,4.0,0,0,0,0,0,0,1,1,0,0
5,1965,2009,0.0,553.0,894.0,1,894,894,1,5,1.0,1,144,138500,1973,2348.0,4.0,0,0,0,0,0,1,1,1,0,0
5,1937,1995,0.0,606.0,942.0,1,1265,1938,2,7,1.0,1,40,198000,1937,2920.0,4.0,0,0,0,0,1,0,1,1,0,0
5,1895,2006,0.0,0.0,957.0,0,1034,1991,2,9,0.0,0,0,119600,1977,2948.0,1.0,0,0,0,0,1,1,0,0,0,1
5,1949,2006,0.0,0.0,672.0,1,672,924,1,6,2.0,1,0,122900,2003,1596.0,4.0,0,0,0,0,0,1,1,1,0,0
8,1981,1981,0.0,1104.0,2524.0,1,2524,2524,2,9,2.0,1,120,278000,1981,5642.0,3.0,0,0,1,1,1,0,0,1,1,0
8,1929,1950,0.0,0.0,792.0,1,792,1517,1,7,2.0,1,0,230000,1931,2309.0,1.0,0,0,1,1,0,0,0,1,0,0
8,1995,1996,0.0,437.0,1494.0,1,1494,1494,1,6,2.0,1,30,270000,1995,3018.0,4.0,0,0,1,1,0,0,1,1,1,0
6,1952,1952,0.0,441.0,948.0,1,948,948,1,5,2.0,0,48,125000,1952,1944.0,3.0,0,0,0,0,0,0,0,0,0,0
8,2007,2008,336.0,1288.0,1705.0,1,1718,1718,2,7,3.0,1,44,297000,2007,3675.0,4.0,0,0,1,1,1,1,1,1,1,1
6,1958,1958,82.0,0.0,160.0,1,1142,1142,1,5,1.0,1,28,113500,1958,1330.0,1.0,0,0,0,0,0,0,0,1,0,0
5,1977,1977,0.0,548.0,757.0,1,925,1475,2,6,1.0,1,26,127000,1977,2362.0,4.0,0,0,1,0,0,0,1,1,0,0
6,1977,1977,480.0,705.0,1844.0,1,1844,1844,2,7,2.0,1,122,190000,1977,3810.0,4.0,0,0,0,0,1,0,1,1,1,0
7,1973,1973,320.0,916.0,1242.0,1,1242,1242,1,6,2.0,1,0,175500,1973,2484.0,1.0,0,0,0,1,0,0,0,1,0,0
5,1994,1994,0.0,420.0,990.0,1,990,990,1,5,1.0,1,0,146000,1995,2236.0,4.0,0,0,1,0,0,0,1,0,0,1
5,1965,1965,0.0,830.0,1256.0,1,1256,1256,1,6,1.0,1,68,147500,1965,3316.0,2.0,0,0,0,0,0,0,0,0,1,0
5,1978,1978,104.0,1097.0,1097.0,1,1110,1110,1,4,2.0,1,30,165500,1978,2540.0,4.0,0,0,1,0,0,0,1,1,0,0
5,1954,1954,335.0,0.0,1050.0,0,1050,1795,2,7,1.0,1,0,131500,1954,2845.0,4.0,0,0,0,0,1,0,1,0,0,0
5,1965,1965,0.0,906.0,1040.0,1,1040,1040,1,5,1.0,1,0,129500,1965,2080.0,4.0,0,0,0,0,0,0,1,0,0,0
8,1935,1950,40.0,210.0,608.0,1,983,1873,1,9,2.0,1,0,257076,1935,2481.0,3.0,0,0,1,1,1,0,0,1,0,0
5,1941,1960,0.0,408.0,984.0,1,984,1604,2,6,2.0,1,68,117000,1977,2656.0,4.0,0,0,0,0,0,0,1,0,0,0
7,1931,2000,0.0,0.0,776.0,1,851,1502,1,6,1.0,0,0,149000,1931,2278.0,3.0,0,0,0,1,0,0,0,1,0,0
5,1954,1954,110.0,354.0,1056.0,1,1063,1063,1,6,1.0,1,0,128000,1954,2119.0,3.0,0,0,0,0,0,0,0,0,0,0
7,2003,2004,106.0,0.0,764.0,1,764,1626,2,6,2.0,1,27,155000,2003,2417.0,4.0,0,1,1,1,0,1,1,0,0,0
6,2000,2000,513.0,353.0,756.0,1,768,1524,2,4,2.0,1,32,166000,2000,2312.0,4.0,0,0,1,0,0,0,1,0,0,0
4,1928,1950,0.0,622.0,1122.0,1,1328,1981,2,7,2.0,1,44,135000,1981,3578.0,3.0,0,0,0,0,1,0,0,1,1,0
4,1970,1970,0.0,176.0,546.0,1,546,1092,1,5,0.0,1,26,76000,1977,1864.0,4.0,0,0,0,0,0,0,1,0,0,0
6,1951,1951,522.0,0.0,216.0,1,1575,1575,1,5,2.0,1,0,155000,1951,1791.0,3.0,0,0,0,0,0,0,0,1,0,0
6,1969,1969,143.0,371.0,663.0,1,663,1352,1,7,1.0,1,36,158000,1969,2430.0,3.0,1,0,0,0,0,0,0,0,0,0
7,2004,2005,0.0,368.0,600.0,1,600,1200,2,4,2.0,1,172,149500,2004,1972.0,4.0,0,0,1,1,0,1,1,0,0,0
5,1954,1975,0.0,486.0,936.0,1,936,936,1,5,1.0,1,0,121000,1954,1872.0,3.0,0,0,0,0,0,0,0,0,0,0
6,1953,1953,0.0,85.0,1040.0,1,1040,1040,1,6,1.0,1,0,136000,1953,2080.0,3.0,0,0,0,0,0,0,0,0,0,0
